"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.459535640E0,-5.283980370E-1,-1.249829292E0,-1.477223754E0,2.005858361E0
1.461748453E0,-5.430588126E-1,-1.270598769E0,-1.485775828E0,2.029005648E0
1.463961213E0,-5.564978123E-1,-1.296255112E0,-1.497993112E0,2.057656553E0
1.466174026E0,-5.736020207E-1,-1.320689678E0,-1.512653947E0,2.088387528E0
1.468386786E0,-5.882627964E-1,-1.345124245E0,-1.527314663E0,2.118514204E0
1.470599598E0,-6.041452885E-1,-1.362228513E0,-1.541975379E0,2.144375462E0
1.472812359E0,-6.212494969E-1,-1.376889229E0,-1.556636214E0,2.169076114E0
1.475025171E0,-6.359102130E-1,-1.386663079E0,-1.571296930E0,2.190020625E0
1.477237984E0,-6.530144215E-1,-1.396436930E0,-1.581070781E0,2.208222984E0
1.479450744E0,-6.701186895E-1,-1.403767228E0,-1.589622855E0,2.224077856E0
1.481663557E0,-6.847794056E-1,-1.417206287E0,-1.596953273E0,2.242243575E0
1.483876317E0,-7.067705393E-1,-1.431867003E0,-1.600618482E0,2.260917344E0
1.486089130E0,-7.275399566E-1,-1.463631988E0,-1.601840138E0,2.288542071E0
1.488301942E0,-7.483093739E-1,-1.507614255E0,-1.599396706E0,2.321839246E0
1.490514703E0,-7.727439404E-1,-1.550374866E0,-1.593288064E0,2.353584984E0
1.492727463E0,-8.032872081E-1,-1.583361506E0,-1.585957646E0,2.380664961E0
1.494940276E0,-8.362739086E-1,-1.600465775E0,-1.579849005E0,2.399326494E0
1.497153088E0,-8.668171167E-1,-1.601687431E0,-1.570075154E0,2.404560361E0
1.499365848E0,-8.900299668E-1,-1.593135357E0,-1.560301304E0,2.400994329E0
1.501578661E0,-9.107993841E-1,-1.583361506E0,-1.550527573E0,2.395980996E0
1.503791473E0,-9.340122342E-1,-1.583361506E0,-1.540753722E0,2.398610962E0
1.506004234E0,-9.560033679E-1,-1.598022223E0,-1.528536439E0,2.409157759E0
1.508217046E0,-9.755510688E-1,-1.622456908E0,-1.518762589E0,2.427077689E0
1.510429807E0,-9.938769937E-1,-1.654221773E0,-1.506545305E0,2.448248335E0
1.512642619E0,-1.010981202E0,-1.688430309E0,-1.491884470E0,2.469534201E0
1.514855380E0,-1.025641918E0,-1.717751741E0,-1.478445530E0,2.487652221E0
1.517081838E0,-1.039080977E0,-1.737299442E0,-1.465006471E0,2.498828243E0
1.519281005E0,-1.048854828E0,-1.748294950E0,-1.452789187E0,2.503443250E0
1.521493765E0,-1.056185246E0,-1.750738502E0,-1.444237113E0,2.503284525E0
1.523706578E0,-1.056185246E0,-1.744629860E0,-1.435684919E0,2.494083360E0
1.525919338E0,-1.053741693E0,-1.742186308E0,-1.430798054E0,2.488527227E0
1.528132151E0,-1.050076604E0,-1.734856009E0,-1.429576278E0,2.481143805E0
1.530344963E0,-1.039080977E0,-1.728747368E0,-1.430798054E0,2.472941530E0
1.532557723E0,-1.028085470E0,-1.727525592E0,-1.433241487E0,2.468903717E0
1.534770536E0,-1.013424635E0,-1.728747368E0,-1.434463263E0,2.464402931E0
1.536983348E0,-9.938769937E-1,-1.728747368E0,-1.434463263E0,2.456429073E0
1.539196109E0,-9.743293524E-1,-1.727525592E0,-1.434463263E0,2.447722862E0
1.541408921E0,-9.535599351E-1,-1.726303816E0,-1.432019711E0,2.437228316E0
1.543621682E0,-9.303470850E-1,-1.717751741E0,-1.428354621E0,2.420002824E0
1.545834442E0,-9.059124589E-1,-1.700647593E0,-1.427132845E0,2.397829805E0
1.548047255E0,-8.741474748E-1,-1.679878116E0,-1.421024203E0,2.367579793E0
1.550260067E0,-8.423825502E-1,-1.654221773E0,-1.414915562E0,2.334104557E0
1.552481473E0,-8.045089245E-1,-1.631008983E0,-1.407585144E0,2.299721907E0
1.554685640E0,-7.654135823E-1,-1.606574416E0,-1.400254846E0,2.264432145E0
1.556898401E0,-7.250964642E-1,-1.585804939E0,-1.392924428E0,2.231766262E0
1.559111213E0,-6.811142564E-1,-1.568700790E0,-1.380707145E0,2.197974299E0
1.561324026E0,-6.359102130E-1,-1.558926940E0,-1.366046309E0,2.168113817E0
1.563536838E0,-5.931497216E-1,-1.557705164E0,-1.348942161E0,2.144275384E0
1.565749598E0,-5.491674542E-1,-1.567479014E0,-1.331837893E0,2.128935773E0
1.567962411E0,-5.112938285E-1,-1.583361506E0,-1.308625102E0,2.116826563E0
1.570175171E0,-4.746419191E-1,-1.609017849E0,-1.286633968E0,2.114154762E0
1.572387932E0,-4.404335022E-1,-1.642004490E0,-1.263421059E0,2.118110759E0
1.574600796E0,-4.098902643E-1,-1.685986757E0,-1.237764716E0,2.131342973E0
1.576813557E0,-3.817904890E-1,-1.734856009E0,-1.209664941E0,2.149134389E0
1.579026317E0,-3.549124300E-1,-1.795942426E0,-1.177899957E0,2.176883170E0
1.581239130E0,-3.329212964E-1,-1.859472394E0,-1.148578525E0,2.210815868E0
1.583451942E0,-3.084867001E-1,-1.925445795E0,-1.115591764E0,2.246564163E0
1.585664703E0,-2.901607752E-1,-1.997527838E0,-1.083826780E0,2.291067705E0
1.587877515E0,-2.681696415E-1,-2.067166328E0,-1.048396707E0,2.333286789E0
1.590090276E0,-2.437350452E-1,-2.135583162E0,-1.012966514E0,2.376178313E0
1.592303088E0,-2.229656428E-1,-2.195447922E0,-9.775363803E-1,2.413562228E0
1.594515848E0,-2.034179717E-1,-2.251647472E0,-9.396627545E-1,2.448318056E0
1.596728661E0,-1.838703007E-1,-2.300516844E0,-9.030108452E-1,2.478228122E0
1.598941473E0,-1.655443609E-1,-2.344499111E0,-8.700241446E-1,2.506196926E0
1.601154234E0,-1.484401375E-1,-2.383594275E0,-8.345940113E-1,2.529842545E0
1.603367046E0,-1.386663020E-1,-2.416581154E0,-8.016073108E-1,2.549836680E0
1.605579807E0,-1.288924664E-1,-2.449567795E0,-7.722858191E-1,2.571657255E0
1.607792619E0,-1.227838174E-1,-2.478889227E0,-7.441860437E-1,2.591096396E0
1.610005432E0,-1.191186309E-1,-2.508210897E0,-7.148644924E-1,2.610812593E0
1.612218192E0,-1.166751757E-1,-2.531423569E0,-6.904299259E-1,2.626482793E0
1.614430953E0,-1.191186309E-1,-2.557080030E0,-6.635518670E-1,2.644456203E0
1.616643765E0,-1.227838174E-1,-2.582736254E0,-6.391173005E-1,2.663470170E0
1.618856578E0,-1.313359290E-1,-2.605949163E0,-6.134609580E-1,2.680401932E0
1.621070901E0,-1.484401375E-1,-2.624275208E0,-5.902481079E-1,2.693927926E0
1.623282151E0,-1.667660922E-1,-2.638935804E0,-5.658134818E-1,2.704059542E0
1.625494911E0,-1.899789423E-1,-2.647487879E0,-5.438223481E-1,2.709432932E0
1.627707723E0,-2.205221802E-1,-2.656039953E0,-5.230529904E-1,2.716019642E0
1.629920536E0,-2.535088956E-1,-2.663370371E0,-5.047270060E-1,2.722601301E0
1.632133296E0,-2.877173126E-1,-2.664592266E0,-4.876227975E-1,2.724079512E0
1.634346109E0,-3.280344009E-1,-2.663370371E0,-4.717403352E-1,2.724644425E0
1.636558869E0,-3.695732057E-1,-2.659705162E0,-4.534143806E-1,2.723270186E0
1.638775536E0,-4.086685479E-1,-2.647487879E0,-4.375318885E-1,2.714338999E0
1.640984494E0,-4.453204274E-1,-2.629162073E0,-4.240928590E-1,2.700121894E0
1.643197255E0,-4.844157696E-1,-2.609614372E0,-4.106538594E-1,2.685774079E0
1.645410067E0,-5.174024701E-1,-2.592510223E0,-4.021017551E-1,2.674041959E0
1.647622880E0,-5.467239618E-1,-2.574184179E0,-3.947713673E-1,2.661047860E0
1.649835640E0,-5.723803043E-1,-2.559523344E0,-3.923279047E-1,2.651923858E0
1.652048453E0,-5.907062292E-1,-2.550971270E0,-3.947713673E-1,2.648062065E0
1.654261213E0,-6.029235125E-1,-2.541197538E0,-3.996582925E-1,2.642144667E0
1.656479234E0,-6.065887213E-1,-2.559523344E0,-4.106538594E-1,2.662282145E0
1.658686786E0,-6.004800797E-1,-2.557080030E0,-4.216494262E-1,2.660267439E0
1.660899598E0,-5.870410800E-1,-2.539975643E0,-4.289797843E-1,2.641991134E0
1.663112411E0,-5.650499463E-1,-2.504545689E0,-4.338667095E-1,2.603895326E0
1.665325171E0,-5.345066786E-1,-2.480111122E0,-4.326449931E-1,2.573680294E0
1.667537932E0,-4.941896200E-1,-2.464228630E0,-4.277580678E-1,2.549435837E0
1.669750744E0,-4.453204274E-1,-2.449567795E0,-4.167625010E-1,2.524358066E0
1.671963557E0,-3.927860558E-1,-2.431241751E0,-3.984365463E-1,2.494788371E0
1.674176317E0,-3.390299380E-1,-2.409250736E0,-3.788888752E-1,2.462313381E0
1.676389130E0,-2.840521336E-1,-2.394589901E0,-3.532325625E-1,2.437112975E0
1.678601890E0,-2.278525680E-1,-2.386037827E0,-3.263545036E-1,2.419008178E0
1.680814703E0,-1.740964651E-1,-2.384816170E0,-2.970330119E-1,2.409540693E0
1.683027515E0,-1.240055487E-1,-2.393368244E0,-2.664897740E-1,2.411349358E0
1.685240276E0,-7.635809481E-2,-2.397033453E0,-2.359465212E-1,2.409827939E0
1.687453088E0,-2.748891525E-2,-2.394589901E0,-2.054032832E-1,2.403540502E0
1.689665848E0,1.404988952E-2,-2.386037827E0,-1.760817766E-1,2.392567387E0
1.691878661E0,5.558869615E-2,-2.368933678E0,-1.443168074E-1,2.373976456E0
1.694091473E0,9.224057943E-2,-2.349385977E0,-1.174387559E-1,2.354127153E0
1.696304234E0,1.252272725E-1,-2.324951410E0,-9.178243577E-2,2.330129813E0
1.698516994E0,1.545487940E-1,-2.298073292E0,-7.223475724E-2,2.304396677E0
1.700729807E0,1.802051067E-1,-2.272417068E0,-4.902189970E-2,2.280078148E0
1.702942619E0,2.034179717E-1,-2.249204159E0,-2.580903657E-2,2.258531453E0
1.705155380E0,2.229656428E-1,-2.225991249E0,-3.817904973E-3,2.237133276E0
1.707368192E0,2.425133139E-1,-2.204000235E0,1.572976820E-2,2.217358150E0
1.709581005E0,2.620609999E-1,-2.185674191E0,3.649916872E-2,2.201631173E0
1.711793765E0,2.791652083E-1,-2.172235250E0,5.726857483E-2,2.190848896E0
1.714006578E0,2.962694168E-1,-2.166126490E0,7.925970852E-2,2.187729791E0
1.716219338E0,3.145953715E-1,-2.163682938E0,9.636391699E-2,2.188556626E0
1.718432151E0,3.316995800E-1,-2.166126490E0,1.171333194E-1,2.194504225E0
1.720644911E0,3.488037884E-1,-2.173456907E0,1.305723488E-1,2.205136764E0
1.722857723E0,3.683514595E-1,-2.185674191E0,1.476765573E-1,2.221410100E0
1.725070484E0,3.878991306E-1,-2.200335026E0,1.623373181E-1,2.240154764E0
1.727283296E0,4.111120105E-1,-2.222326040E0,1.733328849E-1,2.266669452E0
1.729496109E0,4.331031144E-1,-2.245538950E0,1.855501831E-1,2.294439442E0
1.731708869E0,4.587594569E-1,-2.276082277E0,1.965457499E-1,2.330159008E0
1.733921630E0,4.868592322E-1,-2.310290575E0,2.063195854E-1,2.370030005E0
1.736134442E0,5.198459029E-1,-2.351829290E0,2.209803313E-1,2.418713104E0
1.738347255E0,5.577195287E-1,-2.401920319E0,2.393062711E-1,2.477405857E0
1.740560015E0,6.004800797E-1,-2.463006735E0,2.588539422E-1,2.548329623E0
1.742775119E0,6.505709887E-1,-2.530201912E0,2.832885385E-1,2.627815961E0
1.744985640E0,7.092140317E-1,-2.602283955E0,3.138317764E-1,2.715392551E0
1.747198401E0,7.715222239E-1,-2.674365997E0,3.480401933E-1,2.805104634E0
1.749411213E0,8.411607742E-1,-2.753778458E0,3.871355653E-1,2.905291928E0
1.751623973E0,9.156863093E-1,-2.835634232E0,4.274526238E-1,3.010318697E0
1.753836786E0,9.938769937E-1,-2.921155453E0,4.714348912E-1,3.121408579E0
1.756049598E0,1.075732827E0,-3.003011227E0,5.178605914E-1,3.231633818E0
1.758262359E0,1.158810496E0,-3.081202030E0,5.655080676E-1,3.340126808E0
1.760476005E0,1.245553255E0,-3.152062178E0,6.168206930E-1,3.444904447E0
1.762687932E0,1.332296133E0,-3.215592146E0,6.669116020E-1,3.543983200E0
1.764900744E0,1.410486817E0,-3.270570040E0,7.206677198E-1,3.633932224E0
1.767113505E0,1.487455726E0,-3.320660830E0,7.768672705E-1,3.720596140E0
1.769326317E0,1.564424753E0,-3.365864992E0,8.294016719E-1,3.803206422E0
1.771539078E0,1.636506796E0,-3.404960394E0,8.843795061E-1,3.879953207E0
1.773751890E0,1.701258421E0,-3.439168692E0,9.381355643E-1,3.949969600E0
1.775964703E0,1.758679748E0,-3.469712019E0,9.918916821E-1,4.014437079E0
1.778177463E0,1.809992313E0,-3.499033451E0,1.041982651E0,4.074927620E0
1.780390276E0,1.855196357E0,-3.527133226E0,1.092073560E0,4.132196387E0
1.782603036E0,1.896735191E0,-3.549124479E0,1.137277484E0,4.181780605E0
1.784815848E0,1.930943608E0,-3.567450285E0,1.181259751E0,4.224999332E0
1.787028609E0,1.962708592E0,-3.579667568E0,1.222798586E0,4.261628949E0
1.789241421E0,1.989586592E0,-3.586997986E0,1.258228779E0,4.290471887E0
1.791454234E0,2.015242815E0,-3.588219643E0,1.289993644E0,4.312842150E0
1.793666994E0,2.036012411E0,-3.580889225E0,1.318093419E0,4.324983750E0
1.795879807E0,2.056781769E0,-3.567450285E0,1.342528105E0,4.331216283E0
1.798092567E0,2.075107574E0,-3.539350510E0,1.360854030E0,4.322614621E0
1.800305380E0,2.092211962E0,-3.503920317E0,1.375514746E0,4.306605310E0
1.802518140E0,2.110537767E0,-3.461159945E0,1.387732029E0,4.284833487E0
1.804730953E0,2.123976946E0,-3.414734125E0,1.392619014E0,4.255710861E0
1.806943713E0,2.137415886E0,-3.368308306E0,1.395062447E0,4.226138514E0
1.809156526E0,2.149633169E0,-3.324326038E0,1.392619014E0,4.196600301E0
1.811369338E0,2.159406900E0,-3.275456905E0,1.392619014E0,4.163057028E0
1.813582098E0,2.171624184E0,-3.229031324E0,1.388953805E0,4.131801975E0
1.815794911E0,2.183841705E0,-3.188714266E0,1.384066820E0,4.105204529E0
1.818007671E0,2.193615437E0,-3.149618864E0,1.385288596E0,4.080572529E0
1.820220484E0,2.203389168E0,-3.112967014E0,1.384066820E0,4.057231620E0
1.822433244E0,2.210719585E0,-3.078758478E0,1.385288596E0,4.035475108E0
1.824646057E0,2.213163137E0,-3.049437046E0,1.386510372E0,4.014918229E0
1.826858869E0,2.213163137E0,-3.018893719E0,1.386510372E0,3.991769203E0
1.829081005E0,2.210719585E0,-2.992015600E0,1.387732029E0,3.970546388E0
1.831284442E0,2.205832720E0,-2.970024586E0,1.387732029E0,3.951271215E0
1.833497203E0,2.196058989E0,-2.954142094E0,1.386510372E0,3.933451614E0
1.835710015E0,2.182619810E0,-2.944368124E0,1.384066820E0,3.917751121E0
1.837922828E0,2.172846079E0,-2.943146467E0,1.380401731E0,3.910099762E0
1.840135588E0,2.160628796E0,-2.954142094E0,1.375514746E0,3.909899374E0
1.842348401E0,2.148411512E0,-2.972467899E0,1.373071313E0,3.916192318E0
1.844561161E0,2.134972334E0,-2.992015600E0,1.371849537E0,3.923293944E0
1.846780640E0,2.122755051E0,-3.012785196E0,1.371849537E0,3.932548130E0
1.848986734E0,2.108094454E0,-3.031111002E0,1.376736522E0,3.940444084E0
1.851199546E0,2.093433619E0,-3.049437046E0,1.381623387E0,3.948469805E0
1.853412359E0,2.077551126E0,-3.065319538E0,1.390175581E0,3.955374913E0
1.855625119E0,2.059225082E0,-3.076314926E0,1.395062447E0,3.956048621E0
1.857837932E0,2.038455725E0,-3.084867239E0,1.402392864E0,3.954543383E0
1.860050692E0,2.017686367E0,-3.090975761E0,1.408501506E0,3.950831042E0
1.862263505E0,1.995695233E0,-3.094640970E0,1.412166595E0,3.943832741E0
1.864476265E0,1.972482324E0,-3.094640970E0,1.413388371E0,3.932576247E0
1.866689078E0,1.948047757E0,-3.089754105E0,1.409723163E0,3.915199853E0
1.868901890E0,1.924834967E0,-3.082423687E0,1.406057954E0,3.896578551E0
1.871114651E0,1.904065490E0,-3.076314926E0,1.399949312E0,3.879308829E0
1.873327411E0,1.885739565E0,-3.073871613E0,1.392619014E0,3.865758414E0
1.875540223E0,1.867413640E0,-3.073871613E0,1.385288596E0,3.854211319E0
1.877752984E0,1.853974581E0,-3.073871613E0,1.380401731E0,3.845961177E0
1.879965796E0,1.839313865E0,-3.076314926E0,1.379179955E0,3.840433096E0
1.882178609E0,1.824653149E0,-3.076314926E0,1.380401731E0,3.833872921E0
1.884391369E0,1.816100955E0,-3.075093269E0,1.382845163E0,3.829710438E0
1.886604182E0,1.811214089E0,-3.071428061E0,1.387732029E0,3.826220981E0
1.888816994E0,1.809992313E0,-3.064097643E0,1.393840671E0,3.821983563E0
1.891029755E0,1.814879298E0,-3.055545568E0,1.398727655E0,3.819238752E0
1.893242567E0,1.823431373E0,-3.042106628E0,1.399949312E0,3.813026722E0
1.895455328E0,1.835648656E0,-3.032332659E0,1.399949312E0,3.811102914E0
1.897668140E0,1.858861566E0,-3.022558928E0,1.396284223E0,3.813245130E0
1.899880953E0,1.883296132E0,-3.014006853E0,1.392619014E0,3.817123177E0
1.902093713E0,1.915061116E0,-3.003011227E0,1.386510372E0,3.822034343E0
1.904306473E0,1.952934742E0,-2.988350391E0,1.384066820E0,3.828816153E0
1.906519286E0,1.992030025E0,-2.968802929E0,1.380401731E0,3.832425262E0
1.908732046E0,2.033568859E0,-2.944368124E0,1.380401731E0,3.835389797E0
1.910944859E0,2.073885918E0,-2.921155453E0,1.380401731E0,3.839226604E0
1.913157671E0,2.111759424E0,-2.897942543E0,1.382845163E0,3.843157503E0
1.915370432E0,2.143524408E0,-2.874729633E0,1.384066820E0,3.843749253E0
1.917583244E0,2.174067736E0,-2.845408201E0,1.386510372E0,3.839964761E0
1.919796005E0,2.198502302E0,-2.812421560E0,1.388953805E0,3.830446459E0
1.922008817E0,2.220493555E0,-2.778213024E0,1.393840671E0,3.819928147E0
1.924221630E0,2.232710838E0,-2.742782831E0,1.392619014E0,3.800952915E0
1.926434390E0,2.246149778E0,-2.708574533E0,1.395062447E0,3.785203305E0
1.928647151E0,2.253480196E0,-2.681696415E0,1.392619014E0,3.769490201E0
1.930860015E0,2.255923748E0,-2.660927057E0,1.392619014E0,3.756209855E0
1.933077671E0,2.254701853E0,-2.643822670E0,1.395062447E0,3.744286045E0
1.935285536E0,2.247371435E0,-2.630383730E0,1.396284223E0,3.730845288E0
1.937498348E0,2.243706226E0,-2.614501238E0,1.399949312E0,3.718829443E0
1.939711109E0,2.236376047E0,-2.594953537E0,1.404836297E0,3.702529771E0
1.941923921E0,2.226602077E0,-2.575405836E0,1.413388371E0,3.686209262E0
1.944136734E0,2.218050003E0,-2.554636478E0,1.419497013E0,3.668907892E0
1.946349494E0,2.209497929E0,-2.532645464E0,1.426827431E0,3.651302598E0
1.948562307E0,2.202167511E0,-2.509432554E0,1.436601281E0,3.634641211E0
1.950776942E0,2.191171885E0,-2.493550062E0,1.440266490E0,3.618479474E0
1.952987880E0,2.177732944E0,-2.487441301E0,1.445153356E0,3.608095512E0
1.955200640E0,2.163072109E0,-2.492328405E0,1.445153356E0,3.602644869E0
1.957413453E0,2.145967960E0,-2.505767345E0,1.442709923E0,3.600758309E0
1.959626265E0,2.126420259E0,-2.525315046E0,1.439044714E0,3.601350981E0
1.961839026E0,2.105650902E0,-2.546084404E0,1.432936072E0,3.601335488E0
1.964051838E0,2.087324858E0,-2.561966896E0,1.424383998E0,3.598537093E0
1.966264651E0,2.067777395E0,-2.570518970E0,1.417053580E0,3.590447324E0
1.968477411E0,2.049451351E0,-2.570518970E0,1.409723163E0,3.577029216E0
1.970690171E0,2.032347202E0,-2.565632105E0,1.403614521E0,3.561325171E0
1.972902984E0,2.017686367E0,-2.559523344E0,1.398727655E0,3.546640252E0
1.975115796E0,2.003025532E0,-2.557080030E0,1.395062447E0,3.535105203E0
1.977328557E0,1.993251801E0,-2.557080030E0,1.397505879E0,3.530542976E0
1.979541369E0,1.982256174E0,-2.552193165E0,1.398727655E0,3.521287910E0
1.981754130E0,1.966373682E0,-2.543640852E0,1.403614521E0,3.508114588E0
1.983966942E0,1.954156399E0,-2.528980255E0,1.410944939E0,3.493599001E0
1.986179703E0,1.938273907E0,-2.510654211E0,1.419497013E0,3.474947780E0
1.988392515E0,1.926056623E0,-2.488663197E0,1.424383998E0,3.454273932E0
1.990605328E0,1.913839340E0,-2.465450287E0,1.429270864E0,3.432789149E0
1.992818088E0,1.905287266E0,-2.444680929E0,1.426827431E0,3.412099197E0
1.995030901E0,1.896735191E0,-2.430020094E0,1.424383998E0,3.395802087E0
1.997243661E0,1.891848207E0,-2.427576542E0,1.418275356E0,3.388764154E0
1.999456473E0,1.891848207E0,-2.432463646E0,1.418275356E0,3.392266795E0
2.001669234E0,1.894291639E0,-2.450789452E0,1.420718789E0,3.407807452E0
2.003882046E0,1.899178624E0,-2.474002361E0,1.430492640E0,3.431308252E0
2.006094859E0,1.907730699E0,-2.504545689E0,1.441488147E0,3.462668567E0
2.008307619E0,1.922391415E0,-2.537532330E0,1.462257624E0,3.503263683E0
2.010520432E0,1.938273907E0,-2.570518970E0,1.487913847E0,3.546598530E0
2.012733192E0,1.956599832E0,-2.609614372E0,1.517235398E0,3.597273040E0
2.014946005E0,1.976147532E0,-2.652374983E0,1.552665591E0,3.653905111E0
2.017158765E0,2.000582218E0,-2.702465773E0,1.581987023E0,3.715956594E0
2.019371578E0,2.025016785E0,-2.757443666E0,1.613752007E0,3.782642475E0
2.021584390E0,2.051894903E0,-2.811199665E0,1.646738768E0,3.850307107E0
2.023797151E0,2.081216335E0,-2.864955902E0,1.679725409E0,3.919299836E0
2.026009963E0,2.106872559E0,-2.923598766E0,1.711490393E0,3.989428667E0
2.028222776E0,2.139859438E0,-2.988350391E0,1.743255377E0,4.067944909E0
2.030435536E0,2.172846079E0,-3.053102255E0,1.771355152E0,4.144923707E0
2.032648296E0,2.205832720E0,-3.115410328E0,1.801898360E0,4.221174860E0
2.034861109E0,2.237597704E0,-3.172831774E0,1.833663344E0,4.293719391E0
2.037074494E0,2.268141031E0,-3.225366116E0,1.862984896E0,4.360981889E0
2.039286682E0,2.297462463E0,-3.274235249E0,1.893528104E0,4.425426410E0
2.041499494E0,2.325562239E0,-3.316995859E0,1.924071312E0,4.484724258E0
2.043712255E0,2.347553253E0,-3.352425814E0,1.950949430E0,4.533869075E0
2.045925067E0,2.367100954E0,-3.382969141E0,1.971718788E0,4.575513317E0
2.048137828E0,2.382983446E0,-3.404960394E0,1.990044713E0,4.607889251E0
2.050350640E0,2.395200729E0,-3.420842648E0,2.005927324E0,4.632806426E0
2.052563453E0,2.402531147E0,-3.433060169E0,2.014479399E0,4.649320949E0
2.054776213E0,2.404974699E0,-3.441612244E0,2.021809816E0,4.660076509E0
2.056989026E0,2.406196356E0,-3.447720766E0,2.024253130E0,4.666279044E0
2.059201786E0,2.398865938E0,-3.450164318E0,2.024253130E0,4.664310490E0
2.061414598E0,2.390313864E0,-3.446499109E0,2.023031473E0,4.656674008E0
2.063627359E0,2.382983446E0,-3.437947035E0,2.020587921E0,4.645521011E0
2.065840171E0,2.369544506E0,-3.419620991E0,2.019366264E0,4.624542031E0
2.068052932E0,2.357327223E0,-3.393964767E0,2.019366264E0,4.599329145E0
2.070265744E0,2.346331596E0,-3.357312918E0,2.019366264E0,4.566690497E0
2.072478557E0,2.336557865E0,-3.315773964E0,2.020587921E0,4.531736442E0
2.074691317E0,2.324340582E0,-3.268126488E0,2.023031473E0,4.491755361E0
2.076904078E0,2.315788269E0,-3.219257355E0,2.027918339E0,4.454093175E0
2.079116890E0,2.307236195E0,-3.169166565E0,2.032805204E0,4.415795803E0
2.081329703E0,2.301127672E0,-3.120297194E0,2.041357279E0,4.381618728E0
2.083542463E0,2.295018911E0,-3.071428061E0,2.051131248E0,4.348323991E0
2.085755276E0,2.291353703E0,-3.023780584E0,2.064570189E0,4.319259297E0
2.087968088E0,2.290132046E0,-2.978576660E0,2.076787472E0,4.292979142E0
2.090180848E0,2.286466837E0,-2.937037945E0,2.091448307E0,4.269458807E0
2.092393661E0,2.284023523E0,-2.900385857E0,2.108552456E0,4.251469750E0
2.094606473E0,2.288910389E0,-2.867399216E0,2.125656605E0,4.240224644E0
2.096819234E0,2.288910389E0,-2.840521336E0,2.141539097E0,4.230113702E0
2.099031994E0,2.288910389E0,-2.818530083E0,2.158643484E0,4.224093309E0
2.101244807E0,2.290132046E0,-2.798982382E0,2.174525976E0,4.219901703E0
2.103457567E0,2.287688494E0,-2.787986755E0,2.189186573E0,4.218877415E0
2.105670380E0,2.287688494E0,-2.784321547E0,2.202625751E0,4.223449458E0
2.107883192E0,2.279136419E0,-2.790430307E0,2.213621140E0,4.228602921E0
2.110095953E0,2.273027897E0,-2.803869247E0,2.222173452E0,4.238678264E0
2.112308765E0,2.265697479E0,-2.820973635E0,2.227060318E0,4.248655667E0
2.114521578E0,2.257145405E0,-2.842964649E0,2.230725527E0,4.260667759E0
2.116734338E0,2.252258539E0,-2.864955902E0,2.231947184E0,4.273432938E0
2.118947151E0,2.241262913E0,-2.884503603E0,2.230725527E0,4.280158508E0
2.121159911E0,2.229045630E0,-2.902829409E0,2.225838423E0,4.283622261E0
2.123372723E0,2.218050003E0,-2.919933558E0,2.219729900E0,4.286368933E0
2.125585484E0,2.202167511E0,-2.934594393E0,2.207512617E0,4.281880189E0
2.127798296E0,2.185063362E0,-2.945590019E0,2.198960543E0,4.276263547E0
2.130011057E0,2.166737318E0,-2.956585646E0,2.183078051E0,4.266377745E0
2.132223869E0,2.147189617E0,-2.966359377E0,2.165973902E0,4.254545116E0
2.134436682E0,2.123976946E0,-2.976133108E0,2.146426201E0,4.239786761E0
2.136649442E0,2.100764036E0,-2.988350391E0,2.123213291E0,4.225101452E0
2.138862203E0,2.076329470E0,-3.000567913E0,2.098778725E0,4.209444619E0
2.141075015E0,2.049451351E0,-3.011563301E0,2.071900606E0,4.190768006E0
2.143287828E0,2.020129919E0,-3.021337271E0,2.042579174E0,4.169116630E0
2.145500640E0,1.990808368E0,-3.027445793E0,2.014479399E0,4.145705397E0
2.147713401E0,1.961486816E0,-3.029889345E0,1.982714415E0,4.118108355E0
2.149926161E0,1.932165265E0,-3.033554554E0,1.948505878E0,4.090524539E0
2.152138973E0,1.906508923E0,-3.038441420E0,1.914297462E0,4.065887025E0
2.154351786E0,1.882074356E0,-3.044549942E0,1.878867388E0,4.042478311E0
2.156564546E0,1.858861566E0,-3.055545568E0,1.844658971E0,4.024238035E0
2.158788557E0,1.839313865E0,-3.065319538E0,1.814115644E0,4.008774742E0
2.160990119E0,1.819766164E0,-3.078758478E0,1.786015868E0,3.997518648E0
2.163202932E0,1.803883672E0,-3.092197418E0,1.760359526E0,3.989304054E0
2.165415744E0,1.792888165E0,-3.103193045E0,1.738368392E0,3.983237340E0
2.167628505E0,1.785557747E0,-3.114188671E0,1.718820810E0,3.980041774E0
2.169841317E0,1.783114314E0,-3.121519089E0,1.704159975E0,3.978384006E0
2.172054078E0,1.786779523E0,-3.127627611E0,1.690721035E0,3.979092001E0
2.174266890E0,1.792888165E0,-3.132514477E0,1.679725409E0,3.981026547E0
2.176479651E0,1.802662015E0,-3.134958029E0,1.673616767E0,3.984789237E0
2.178692463E0,1.814879298E0,-3.136179686E0,1.667508125E0,3.988733287E0
2.180905276E0,1.828318238E0,-3.137401581E0,1.663842916E0,3.994297123E0
2.183118036E0,1.839313865E0,-3.138623238E0,1.667508125E0,4.001826417E0
2.185330796E0,1.852752924E0,-3.138623238E0,1.671173334E0,4.009547298E0
