"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.362853800E-1,-2.626718581E-2,-1.227838159E0,1.939495653E-2,1.228272231E0
1.384981400E-1,-3.604102135E-2,-1.257159710E0,3.894263133E-2,1.258278991E0
1.407109530E-1,-3.726275265E-2,-1.273042202E0,6.582067907E-2,1.275287153E0
1.429237130E-1,-3.481929377E-2,-1.284037709E0,9.514218569E-2,1.288028438E0
1.451365260E-1,-2.993237413E-2,-1.299920201E0,1.269071549E-1,1.306443226E0
1.473493380E-1,-1.527161989E-2,-1.302363753E0,1.623373181E-1,1.312531132E0
1.495620980E-1,6.108647794E-4,-1.293811560E0,2.002109289E-1,1.309210885E0
1.517749110E-1,1.771507785E-2,-1.302363753E0,2.368628234E-1,1.323846353E0
1.539877230E-1,4.337139800E-2,-1.293811560E0,2.735147178E-1,1.323117429E0
1.562004840E-1,6.902772188E-2,-1.270598769E0,3.126100600E-1,1.310309547E0
1.584132960E-1,9.957095981E-2,-1.252272844E0,3.468184769E-1,1.303220898E0
1.606261090E-1,1.362228394E-1,-1.215620875E0,3.785834610E-1,1.280474995E0
1.628388690E-1,1.802051067E-1,-1.159421325E0,4.079049528E-1,1.242223063E0
1.650516820E-1,2.290742993E-1,-1.099556565E0,4.311178327E-1,1.203063698E0
1.672645460E-1,2.816086709E-1,-1.032361507E0,4.531089365E-1,1.162059135E0
1.694773070E-1,3.390299380E-1,-9.663881063E-1,4.665479660E-1,1.125395164E0
1.716900670E-1,4.025598764E-1,-8.918625712E-1,4.775435328E-1,1.088816388E0
1.739028800E-1,4.685332775E-1,-8.161153197E-1,4.873173833E-1,1.059738590E0
1.761156920E-1,5.369501114E-1,-7.403681278E-1,4.934260249E-1,1.039196627E0
1.783284530E-1,6.065887213E-1,-6.682860851E-1,4.958694875E-1,1.029777994E0
1.805412650E-1,6.725621223E-1,-6.023126841E-1,4.958694875E-1,1.030051905E0
1.827540260E-1,7.336485982E-1,-5.351175666E-1,4.897608459E-1,1.031725139E0
1.849668380E-1,7.898481488E-1,-4.764745235E-1,4.812087417E-1,1.040408537E0
1.871796510E-1,8.436042666E-1,-4.166097939E-1,4.665479660E-1,1.050189927E0
1.893924630E-1,8.900299668E-1,-3.579667509E-1,4.470002949E-1,1.058349092E0
1.916052760E-1,9.315688014E-1,-3.042106628E-1,4.250091612E-1,1.068174773E0
1.938180360E-1,9.633337855E-1,-2.541197538E-1,3.981311321E-1,1.072891994E0
1.960308480E-1,9.950987101E-1,-2.101374865E-1,3.688096106E-1,1.081850144E0
1.982436610E-1,1.015868187E0,-1.710421443E-1,3.394880891E-1,1.084663888E0
2.004627760E-1,1.036637545E0,-1.380554438E-1,3.089448512E-1,1.090469452E0
2.026692340E-1,1.052520037E0,-1.111773923E-1,2.796233594E-1,1.094690853E0
2.048819940E-1,1.067180753E0,-8.429934084E-2,2.539670467E-1,1.100218341E0
2.070948070E-1,1.080619812E0,-6.475166976E-2,2.344193608E-1,1.107648136E0
2.093076190E-1,1.100167513E0,-4.642572254E-2,2.136499584E-1,1.121681866E0
2.115203800E-1,1.112384796E0,-3.054323979E-2,2.026543915E-1,1.131106373E0
2.137331920E-1,1.127045512E0,-1.588248461E-2,1.965457499E-1,1.144165229E0
2.159460050E-1,1.139262795E0,-2.443459118E-3,1.965457499E-1,1.156095117E0
2.181587650E-1,1.149036646E0,6.108647678E-3,1.989891976E-1,1.166155749E0
2.203715780E-1,1.161253929E0,1.588248461E-2,2.124282271E-1,1.180630634E0
2.225843900E-1,1.173471212E0,2.443459071E-2,2.295324355E-1,1.195958559E0
2.247972030E-1,1.184466839E0,3.298669681E-2,2.503018379E-1,1.211074244E0
2.270099630E-1,1.196684122E0,4.153880477E-2,2.747364342E-1,1.228518811E0
2.292227760E-1,1.205236197E0,4.398226365E-2,3.028362095E-1,1.243478387E0
2.314355880E-1,1.212566614E0,4.520399496E-2,3.309359848E-1,1.257728039E0
2.336483480E-1,1.224783897E0,4.153880477E-2,3.602575064E-1,1.277343548E0
2.358718380E-1,1.232114315E0,3.054323979E-2,3.908007443E-1,1.292967052E0
2.380739210E-1,1.239444613E0,1.588248461E-2,4.189005196E-1,1.308416160E0
2.402867340E-1,1.249218464E0,-1.221729559E-3,4.482220411E-1,1.327196768E0
2.424995460E-1,1.257770538E0,-1.466075517E-2,4.702131748E-1,1.342870841E0
2.447123590E-1,1.261435747E0,-2.809977904E-2,4.934260249E-1,1.354798503E0
2.469251190E-1,1.263879180E0,-4.642572254E-2,5.105302334E-1,1.363886743E0
2.491379320E-1,1.260214090E0,-6.597339362E-2,5.239692926E-1,1.366395207E0
2.513506920E-1,1.255327106E0,-8.552107215E-2,5.361865759E-1,1.367719284E0
2.535635050E-1,1.245553255E0,-1.099556610E-1,5.422952175E-1,1.362929661E0
2.557763170E-1,1.232114315E0,-1.331685185E-1,5.422952175E-1,1.352746703E0
2.579891300E-1,1.216231823E0,-1.612683088E-1,5.422952175E-1,1.341384142E0
2.602019420E-1,1.197905779E0,-1.905898154E-1,5.337430835E-1,1.325211082E0
2.624147030E-1,1.178358197E0,-2.247982323E-1,5.227475166E-1,1.308559228E0
2.646275150E-1,1.152701855E0,-2.675587833E-1,5.105302334E-1,1.288778642E0
2.668403280E-1,1.125823736E0,-3.103193045E-1,4.958694875E-1,1.268725228E0
2.690530880E-1,1.091615319E0,-3.579667509E-1,4.799869955E-1,1.245050889E0
2.712659010E-1,1.056185246E0,-4.031707644E-1,4.628827870E-1,1.221611400E0
2.734786610E-1,1.015868187E0,-4.459312856E-1,4.494437575E-1,1.197014025E0
2.756914730E-1,9.682206511E-1,-4.886918366E-1,4.347830117E-1,1.168463610E0
2.779042860E-1,9.205732346E-1,-5.277871490E-1,4.213439822E-1,1.141728999E0
2.801170980E-1,8.692606091E-1,-5.632173419E-1,4.115701318E-1,1.114548229E0
2.823298590E-1,8.167262077E-1,-5.925388336E-1,4.066832364E-1,1.087904050E0
2.845426710E-1,7.629700899E-1,-6.120865345E-1,4.066832364E-1,1.059322679E0
2.867554320E-1,7.079922557E-1,-6.267472506E-1,4.079049528E-1,1.029782307E0
2.889682440E-1,6.554579139E-1,-6.401863098E-1,4.079049528E-1,1.002920754E0
2.911810570E-1,6.029235125E-1,-6.462949514E-1,4.079049528E-1,9.734476753E-1
2.933938170E-1,5.516108871E-1,-6.511818767E-1,4.066832364E-1,9.453590122E-1
2.956066300E-1,5.015199780E-1,-6.524035931E-1,4.054614902E-1,9.173613010E-1
2.978194420E-1,4.502073526E-1,-6.450732350E-1,4.030180275E-1,8.838719757E-1
3.000322030E-1,4.037816226E-1,-6.365211010E-1,4.005745649E-1,8.536150730E-1
3.022450150E-1,3.536907136E-1,-6.230821013E-1,3.908007443E-1,8.161210987E-1
3.044601190E-1,3.011563420E-1,-6.071996093E-1,3.785834610E-1,7.763452485E-1
3.066705880E-1,2.559523284E-1,-5.949822664E-1,3.614792228E-1,7.417430285E-1
3.088834010E-1,2.083048970E-1,-5.839866996E-1,3.370446563E-1,7.057127572E-1
3.110962130E-1,1.643226296E-1,-5.681042671E-1,3.162752390E-1,6.706522286E-1
3.133089730E-1,1.191186309E-1,-5.448913574E-1,2.918406427E-1,6.294972600E-1
3.155218380E-1,7.635809481E-2,-5.106829405E-1,2.698495090E-1,5.826202724E-1
3.177345980E-1,3.481929377E-2,-4.728093445E-1,2.441931963E-1,5.332835799E-1
3.199473590E-1,-3.054323839E-3,-4.324922562E-1,2.148716897E-1,4.829375980E-1
3.221722030E-1,-3.481929377E-2,-3.958403766E-1,1.867718995E-1,4.390737175E-1
3.243729840E-1,-6.414080411E-2,-3.591884971E-1,1.550069451E-1,3.964310435E-1
3.265857960E-1,-8.735366166E-2,-3.249800503E-1,1.220202371E-1,3.579547927E-1
3.287985570E-1,-1.093447953E-1,-2.834412456E-1,9.147699922E-2,3.172747474E-1
3.310113690E-1,-1.276707351E-1,-2.419024557E-1,6.704241037E-2,2.816226189E-1
3.332241300E-1,-1.398880333E-1,-1.905898154E-1,4.382954910E-2,2.404457713E-1
3.354369420E-1,-1.521053314E-1,-1.221729591E-1,2.550360374E-2,1.967554258E-1
3.376497550E-1,-1.582139730E-1,-6.230820715E-2,1.450803876E-2,1.706588912E-1
3.398688170E-1,-1.594357044E-1,-2.443459118E-3,3.512472380E-3,1.594931089E-1
3.420753280E-1,-1.582139730E-1,4.886918142E-2,1.069013379E-3,1.655928771E-1
3.442881400E-1,-1.508836001E-1,9.407317638E-2,-1.527161949E-4,1.778078925E-1
3.465009530E-1,-1.411097646E-1,1.343902498E-1,3.512472380E-3,1.948975176E-1
3.487137130E-1,-1.215620935E-1,1.808159798E-1,8.399390616E-3,2.180419934E-1
3.509264730E-1,-9.712749720E-2,2.247982323E-1,1.572976820E-2,2.453883077E-1
3.531392860E-1,-7.147117704E-2,2.626718581E-1,2.550360374E-2,2.734137304E-1
3.553520980E-1,-4.337139800E-2,2.956585586E-1,3.649916872E-2,3.010436028E-1
3.575649110E-1,-9.162971750E-3,3.164279461E-1,4.993819445E-2,3.204753163E-1
3.597776710E-1,2.748891525E-2,3.249800503E-1,6.704241037E-2,3.329599951E-1
3.619904840E-1,6.536252797E-2,3.262017965E-1,8.536835015E-2,3.434641573E-1
3.642032960E-1,1.044578776E-1,3.139844835E-1,1.049160287E-1,3.471384121E-1
3.664161090E-1,1.459966749E-1,2.895499170E-1,1.293506175E-1,3.491214198E-1
3.686288690E-1,1.875354946E-1,2.577849329E-1,1.574503928E-1,3.555464239E-1
3.708416300E-1,2.315177470E-1,2.174678594E-1,1.879936308E-1,3.690993664E-1
3.730544940E-1,2.767217457E-1,1.759290546E-1,2.234237939E-1,3.967923241E-1
3.752672550E-1,3.207040131E-1,1.356119812E-1,2.637408674E-1,4.368076448E-1
3.774800670E-1,3.622428179E-1,9.285144508E-2,3.065013885E-1,4.835125139E-1
3.796928280E-1,4.013381600E-1,5.619955808E-2,3.541488647E-1,5.381933922E-1
3.819056400E-1,4.404335022E-1,2.199113183E-2,4.030180275E-1,5.974017160E-1
3.841184010E-1,4.807505906E-1,-8.552107029E-3,4.567741454E-1,6.632019969E-1
3.863312130E-1,5.235111117E-1,-3.543015569E-2,5.093085170E-1,7.312416465E-1
3.885440260E-1,5.650499463E-1,-5.497783050E-2,5.655080676E-1,8.013135330E-1
3.907568380E-1,6.041452885E-1,-6.841685623E-2,6.253728271E-1,8.722176154E-1
3.929695980E-1,6.407971382E-1,-7.086031139E-2,6.840158105E-1,9.399573315E-1
3.951824110E-1,6.762273312E-1,-6.352993846E-2,7.389936447E-1,1.003708655E0
3.973951710E-1,7.104357481E-1,-4.398226365E-2,7.951932549E-1,1.067232732E0
3.996079840E-1,7.422007322E-1,-2.443459071E-2,8.465058804E-1,1.126068906E0
4.018207960E-1,7.703005075E-1,-1.221729559E-3,8.953750730E-1,1.181126956E0
4.040336090E-1,7.947350740E-1,2.565632015E-2,9.405790567E-1,1.231645666E0
4.062463690E-1,8.179479241E-1,5.375609919E-2,9.833396077E-1,1.280189560E0
4.084591820E-1,8.362739086E-1,7.941242307E-2,1.018769741E0,1.320436355E0
4.106719940E-1,8.509346247E-1,1.087339297E-1,1.050534725E0,1.356294958E0
4.128847550E-1,8.594867587E-1,1.404989064E-1,1.076191068E0,1.384429357E0
4.150975670E-1,8.619301915E-1,1.734855920E-1,1.098182201E0,1.406778253E0
4.173103800E-1,8.619301915E-1,2.150243968E-1,1.114064693E0,1.424885710E0
4.195231400E-1,8.582650423E-1,2.541197538E-1,1.128725410E0,1.440561273E0
4.217359010E-1,8.497129083E-1,2.956585586E-1,1.136055827E0,1.449154530E0
4.239487130E-1,8.423825502E-1,3.396408260E-1,1.138499260E0,1.456415056E0
4.261630360E-1,8.301652074E-1,3.824013472E-1,1.140942693E0,1.461901259E0
4.283742860E-1,8.155044913E-1,4.251618981E-1,1.133612275E0,1.459755803E0
4.305870980E-1,7.996219993E-1,4.679224193E-1,1.125060201E0,1.457431709E0
4.327999110E-1,7.874047160E-1,5.119046569E-1,1.112842917E0,1.456184028E0
4.350127230E-1,7.727439404E-1,5.558869243E-1,1.096960425E0,1.452399960E0
4.372254840E-1,7.605266571E-1,6.023126841E-1,1.078634501E0,1.450735590E0
4.394382960E-1,7.483093739E-1,6.524035931E-1,1.057865024E0,1.450750073E0
4.416511090E-1,7.360920310E-1,7.012727857E-1,1.033430457E0,1.449687383E0
4.438652230E-1,7.250964642E-1,7.562506199E-1,1.012661099E0,1.457107541E0
4.460766820E-1,7.128791809E-1,8.087849617E-1,9.870047569E-1,1.461679935E0
4.482894940E-1,7.006618977E-1,8.649845123E-1,9.625701904E-1,1.471620424E0
4.505022550E-1,6.896663308E-1,9.162971973E-1,9.393573403E-1,1.482441370E0
4.527150670E-1,6.762273312E-1,9.688315392E-1,9.137009978E-1,1.493575398E0
4.549278800E-1,6.640099883E-1,1.017700672E0,8.917098641E-1,1.507239332E0
4.571406400E-1,6.505709887E-1,1.064126492E0,8.672752976E-1,1.519136019E0
4.593534530E-1,6.371319890E-1,1.109330416E0,8.428406715E-1,1.531969824E0
4.615662130E-1,6.261364222E-1,1.150869250E0,8.208495378E-1,1.546072707E0
4.637790260E-1,6.126973629E-1,1.189964533E0,8.025236130E-1,1.560595334E0
4.659918380E-1,5.992583632E-1,1.227838159E0,7.854194045E-1,1.575938061E0
4.682046510E-1,5.894845128E-1,1.264490128E0,7.695369124E-1,1.593302963E0
4.704174110E-1,5.748237371E-1,1.299920201E0,7.548761368E-1,1.609364111E0
4.726302230E-1,5.626064539E-1,1.339015603E0,7.451022863E-1,1.632380539E0
4.748429840E-1,5.528326035E-1,1.378110886E0,7.365502119E-1,1.657504062E0
4.770557960E-1,5.406153202E-1,1.418428063E0,7.316632867E-1,1.685091766E0
4.792686090E-1,5.308414698E-1,1.458745122E0,7.279980779E-1,1.714558602E0
4.814813690E-1,5.222893953E-1,1.495396972E0,7.267763615E-1,1.742757067E0
4.836941820E-1,5.161807537E-1,1.532048821E0,7.279980779E-1,1.773019279E0
4.859069420E-1,5.088503361E-1,1.567479014E0,7.316632867E-1,1.803122372E0
4.881198070E-1,5.027416945E-1,1.600465775E0,7.377719283E-1,1.832633986E0
4.903325670E-1,4.978547990E-1,1.633452415E0,7.451022863E-1,1.863116639E0
4.925453280E-1,4.893026948E-1,1.662773967E0,7.560978532E-1,1.891009877E0
4.947581400E-1,4.831940532E-1,1.689651966E0,7.683151960E-1,1.917995959E0
4.969709530E-1,4.770853817E-1,1.711643100E0,7.854194045E-1,1.942734208E0
4.991837650E-1,4.734202027E-1,1.728747368E0,8.049670458E-1,1.964857780E0
5.013965260E-1,4.648680985E-1,1.745851517E0,8.269581795E-1,1.986947331E0
5.036093380E-1,4.563159943E-1,1.760512352E0,8.489493132E-1,2.007073233E0
5.058220980E-1,4.477638900E-1,1.776394725E0,8.770490885E-1,2.031079965E0
5.080349110E-1,4.355465770E-1,1.786168575E0,9.051488638E-1,2.049242169E0
5.102476710E-1,4.221075773E-1,1.794720769E0,9.344704151E-1,2.066986309E0
5.124604840E-1,4.050033391E-1,1.803272843E0,9.625701904E-1,2.083833492E0
5.146732960E-1,3.878991306E-1,1.808159709E0,9.906699657E-1,2.097935712E0
5.168861090E-1,3.707949221E-1,1.814268351E0,1.019991517E0,2.114105299E0
5.190988690E-1,3.512472510E-1,1.815490127E0,1.046869516E0,2.124927014E0
5.213116820E-1,3.341430426E-1,1.817933559E0,1.072525859E0,2.137017950E0
5.235244940E-1,3.121519089E-1,1.820376992E0,1.100625634E0,2.150020464E0
5.257372550E-1,2.889390290E-1,1.820376992E0,1.123838425E0,2.158766074E0
5.279500670E-1,2.657261789E-1,1.822820544E0,1.145829558E0,2.169380215E0
5.301787650E-1,2.412915826E-1,1.828929186E0,1.166599035E0,2.182694872E0
5.323756400E-1,2.119700760E-1,1.828929186E0,1.183703184E0,2.188850499E0
5.345884530E-1,1.850920320E-1,1.826485634E0,1.199585676E0,2.193014962E0
5.368012130E-1,1.569922417E-1,1.827707410E0,1.211802959E0,2.198551194E0
5.390140260E-1,1.264490038E-1,1.826485634E0,1.220355153E0,2.200296757E0
5.412268380E-1,9.712749720E-2,1.826485634E0,1.225242019E0,2.201522547E0
5.434396510E-1,6.902772188E-2,1.826485634E0,1.232572436E0,2.204551974E0
5.456524110E-1,4.214967042E-2,1.826485634E0,1.236237645E0,2.205926082E0
5.478652230E-1,1.771507785E-2,1.827707410E0,1.241124511E0,2.209347924E0
5.500779840E-1,-7.941242307E-3,1.830150843E0,1.241124511E0,2.211313008E0
5.522907960E-1,-3.115410358E-2,1.830150843E0,1.239902735E0,2.210832756E0
5.545035570E-1,-5.192350596E-2,1.831372619E0,1.238681078E0,2.211549803E0
5.567164210E-1,-7.024945319E-2,1.830150843E0,1.237459302E0,2.210360291E0
5.589291820E-1,-8.491020650E-2,1.830150843E0,1.231350660E0,2.207461506E0
5.611419420E-1,-9.957095981E-2,1.831372619E0,1.225242019E0,2.205687659E0
5.633547550E-1,-1.117882580E-1,1.833816051E0,1.217911601E0,2.204242862E0
5.655675670E-1,-1.215620935E-1,1.837481260E0,1.206916094E0,2.201763198E0
5.677803800E-1,-1.288924664E-1,1.846033335E0,1.191033602E0,2.200684753E0
5.699931400E-1,-1.301141977E-1,1.858250618E0,1.175151110E0,2.202499760E0
5.722059010E-1,-1.301141977E-1,1.874133110E0,1.159268618E0,2.207534450E0
5.744187130E-1,-1.276707351E-1,1.891237378E0,1.137277484E0,2.210538105E0
5.766315260E-1,-1.227838174E-1,1.910785079E0,1.116508126E0,2.216476005E0
5.788443380E-1,-1.178968996E-1,1.932776213E0,1.094516993E0,2.224295622E0
5.810570980E-1,-1.142317131E-1,1.957210779E0,1.072525859E0,2.234733684E0
5.832699110E-1,-1.117882580E-1,1.982867122E0,1.051756382E0,2.247320654E0
5.854827230E-1,-1.069013327E-1,2.012188673E0,1.027321815E0,2.261796026E0
5.876954840E-1,-1.056796089E-1,2.042731762E0,1.006552458E0,2.279708113E0
5.899082960E-1,-1.007926911E-1,2.069609880E0,9.857830405E-1,2.294605070E0
5.921211090E-1,-9.957095981E-2,2.096487999E0,9.674571157E-1,2.311092723E0
5.943338690E-1,-9.957095981E-2,2.123365879E0,9.503529072E-1,2.328468956E0
5.965466820E-1,-9.834922850E-2,2.146578789E0,9.308052063E-1,2.341766726E0
5.987594420E-1,-1.020144150E-1,2.166126490E0,9.185879230E-1,2.355061503E0
6.009722550E-1,-1.081230640E-1,2.180787325E0,9.063706398E-1,2.364113299E0
6.031850150E-1,-1.166751757E-1,2.194226265E0,8.965967894E-1,2.373210442E0
6.053978280E-1,-1.288924664E-1,2.199113131E0,8.892664313E-1,2.375606578E0
6.076106400E-1,-1.447749585E-1,2.204000235E0,8.868229389E-1,2.380132716E0
6.098234010E-1,-1.618791670E-1,2.205221891E0,8.868229389E-1,2.382365081E0
6.120362130E-1,-1.826485693E-1,2.202778339E0,8.880446553E-1,2.382061339E0
6.142490260E-1,-2.058614343E-1,2.199113131E0,8.965967894E-1,2.383770814E0
6.164680880E-1,-2.302960157E-1,2.186895847E0,9.039271474E-1,2.377526864E0
6.186745980E-1,-2.583957911E-1,2.173456907E0,9.124792814E-1,2.371350196E0
6.208874110E-1,-2.889390290E-1,2.157574415E0,9.246965647E-1,2.365095528E0
6.231001710E-1,-3.219257295E-1,2.138026714E0,9.393573403E-1,2.357368579E0
6.253129840E-1,-3.536907136E-1,2.114813805E0,9.527963400E-1,2.346349380E0
6.275257960E-1,-3.891208768E-1,2.089157581E0,9.662353396E-1,2.334438945E0
6.297385570E-1,-4.233292937E-1,2.058614254E0,9.808961153E-1,2.319322644E0
6.319513690E-1,-4.563159943E-1,2.021962404E0,9.955568910E-1,2.299497722E0
6.341667340E-1,-4.917461574E-1,1.984088778E0,1.008995891E0,2.279582258E0
6.363769420E-1,-5.222893953E-1,1.944993496E0,1.022434950E0,2.258574581E0
6.385897550E-1,-5.552760959E-1,1.905898094E0,1.035874009E0,2.239154763E0
6.408025670E-1,-5.870410800E-1,1.866802812E0,1.050534725E0,2.221079282E0
6.430153280E-1,-6.163625717E-1,1.831372619E0,1.065195441E0,2.206460926E0
6.452281400E-1,-6.432406306E-1,1.793498993E0,1.078634501E0,2.189486134E0
6.474409530E-1,-6.676751971E-1,1.755625367E0,1.089630008E0,2.171475110E0
6.496537130E-1,-6.908880472E-1,1.717751741E0,1.103069067E0,2.155170227E0
6.518664730E-1,-7.092140317E-1,1.679878116E0,1.117729783E0,2.138760130E0
6.540792860E-1,-7.287616730E-1,1.643226266E0,1.132390618E0,2.124522217E0
6.562920980E-1,-7.446441650E-1,1.607796073E0,1.144607902E0,2.109414704E0
6.585049110E-1,-7.617483735E-1,1.571144223E0,1.156825185E0,2.094516475E0
6.607176710E-1,-7.764091492E-1,1.539379239E0,1.169042468E0,2.083065026E0
6.629304840E-1,-7.910698652E-1,1.508836031E0,1.180038095E0,2.072406235E0
6.651432960E-1,-8.045089245E-1,1.484401464E0,1.189811826E0,2.065510711E0
6.673560570E-1,-8.203914165E-1,1.456301689E0,1.197142243E0,2.055968443E0
6.695688690E-1,-8.326086998E-1,1.429423571E0,1.202029228E0,2.044838198E0
6.717816300E-1,-8.460476995E-1,1.406210780E0,1.204472661E0,2.035676757E0
6.739944420E-1,-8.558215499E-1,1.382997870E0,1.206916094E0,2.025280250E0
6.762072030E-1,-8.680388331E-1,1.363450170E0,1.205694318E0,2.016478755E0
6.784200150E-1,-8.790344000E-1,1.345124245E0,1.203250885E0,2.007454458E0
